id,product_id,sku,price,stock,size,color,name,stock_quantity,created_at
"dfc455e2-f571-43fc-9faa-dbc204b7865a","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-WHT","150","100","","White","White","100","2026-07-24T19:08:32.556Z"
"707eba88-a608-43a1-bf26-0103b9da5652","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-RDO","150","100","","Red-Orange","Red-Orange","100","2026-07-24T19:08:32.556Z"
"6ac04c3c-40ec-4968-93ad-9994c101efb1","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-DBL","150","100","","Dark Blue","Dark Blue","100","2026-07-24T19:08:32.556Z"
"5500bbc9-d218-490c-87b8-f3029d08ccf1","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-AQU","150","100","","Aqua","Aqua","100","2026-07-24T19:08:32.556Z"
"82f660ab-108d-48d6-9cba-b9a6574f0cdc","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-MAG","150","100","","Magenta","Magenta","100","2026-07-24T19:08:32.556Z"
"b5c76d7b-f5b9-42fa-b166-c5bb4f3460d5","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-TEA","150","100","","Teal","Teal","100","2026-07-24T19:08:32.556Z"
"732c9077-8300-4c19-b83e-8f06bc1cf425","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-LAV","150","100","","Lavender","Lavender","100","2026-07-24T19:08:32.556Z"
"72f957f2-464c-4eb7-928b-2e96df99156e","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-DGR","150","100","","Dark Green","Dark Green","100","2026-07-24T19:08:32.556Z"
"b67095b7-5558-4bf9-b508-3bfb0ad6e446","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-SLV","150","100","","Silver","Silver","100","2026-07-24T19:08:32.556Z"
"03e44285-aca3-4653-8b1c-0767a85b33af","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-YEL","150","100","","Yellow","Yellow","100","2026-07-24T19:08:32.556Z"
"77b1d517-b9c2-4246-a637-ff199e77f429","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-MAR","150","100","","Maroon","Maroon","100","2026-07-24T19:08:32.556Z"
"61f5bebe-ef78-434b-b81b-9da22b9affd1","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-PCH","150","100","","Peach","Peach","100","2026-07-24T19:08:32.556Z"
"e03c158b-6cef-4395-9fe2-1348e24b9706","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-CRL","150","100","","Coral","Coral","100","2026-07-24T19:08:32.556Z"
"4d9a6cbc-556d-4edc-b2ac-43450869d83a","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-GLD","150","100","","Gold","Gold","100","2026-07-24T19:08:32.556Z"
"152a49d6-bb27-4f43-b906-f42444c8a0ad","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-PNK","150","100","","Pink","Pink","100","2026-07-24T19:08:32.556Z"
"ddd53627-5b71-4ee6-8b15-8bc1c4e97df6","b6bc6cfb-5890-4ba3-971e-4b21b7174656","MNB-FF-001-ORG","150","100","","Orange","Orange","100","2026-07-24T19:08:32.556Z"
