id,product_id,image_url,is_featured,position,sort_order,alt_text,created_at
"e322e732-9f47-4965-94fa-71727796181f","b6bc6cfb-5890-4ba3-971e-4b21b7174656","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/foam-flowers/premium-foam-flowers-pack-collage.png","true","0","0","Premium Foam Flowers Pack (100pcs)","2026-07-24T19:08:32.556Z"
"12be3782-8647-4765-ac24-aaa10d1dc282","b6bc6cfb-5890-4ba3-971e-4b21b7174656","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/foam-flowers/premium-foam-flowers-pack-white.png","false","1","1","Premium Foam Flowers Pack (100pcs) - White","2026-07-24T19:08:32.556Z"
"e43b6823-f6e2-47eb-a0ec-29e66bde39c6","b6bc6cfb-5890-4ba3-971e-4b21b7174656","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/foam-flowers/premium-foam-flowers-pack-red-orange.png","false","2","2","Premium Foam Flowers Pack (100pcs) - Red-orange","2026-07-24T19:08:32.556Z"
"632df094-683b-41a8-800d-0040080843af","b6bc6cfb-5890-4ba3-971e-4b21b7174656","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/foam-flowers/premium-foam-flowers-pack-dark-blue.png","false","3","3","Premium Foam Flowers Pack (100pcs) - Dark-blue","2026-07-24T19:08:32.556Z"
"13bf0a98-9f7b-4c52-8599-50e5bceb0bf3","b6bc6cfb-5890-4ba3-971e-4b21b7174656","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/foam-flowers/premium-foam-flowers-pack-aqua.png","false","4","4","Premium Foam Flowers Pack (100pcs) - Aqua","2026-07-24T19:08:32.556Z"
"9f33741f-b668-41a8-bf82-b399c8924663","b6bc6cfb-5890-4ba3-971e-4b21b7174656","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/foam-flowers/premium-foam-flowers-pack-magenta.png","false","5","5","Premium Foam Flowers Pack (100pcs) - Magenta","2026-07-24T19:08:32.556Z"
"8c544bf0-8e05-4304-9fa9-b2fd43babca2","b6bc6cfb-5890-4ba3-971e-4b21b7174656","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/foam-flowers/premium-foam-flowers-pack-teal.png","false","6","6","Premium Foam Flowers Pack (100pcs) - Teal","2026-07-24T19:08:32.556Z"
"64f541e9-ae87-4d7a-a44d-6a9288d5222b","b6bc6cfb-5890-4ba3-971e-4b21b7174656","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/foam-flowers/premium-foam-flowers-pack-lavender.png","false","7","7","Premium Foam Flowers Pack (100pcs) - Lavender","2026-07-24T19:08:32.556Z"
"5cd63684-97fa-46ff-9445-7e246ec1f6a2","b6bc6cfb-5890-4ba3-971e-4b21b7174656","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/foam-flowers/premium-foam-flowers-pack-dark-green.png","false","8","8","Premium Foam Flowers Pack (100pcs) - Dark-green","2026-07-24T19:08:32.556Z"
"9fca5751-e011-4142-975d-28d6d1d49eec","b6bc6cfb-5890-4ba3-971e-4b21b7174656","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/foam-flowers/premium-foam-flowers-pack-silver.png","false","9","9","Premium Foam Flowers Pack (100pcs) - Silver","2026-07-24T19:08:32.556Z"
"3c8755e0-46cd-42b6-82c0-549a14bd646a","b6bc6cfb-5890-4ba3-971e-4b21b7174656","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/foam-flowers/premium-foam-flowers-pack-yellow.png","false","10","10","Premium Foam Flowers Pack (100pcs) - Yellow","2026-07-24T19:08:32.556Z"
"362d33ea-e6c6-40cb-9310-a56fd38abb7d","b6bc6cfb-5890-4ba3-971e-4b21b7174656","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/foam-flowers/premium-foam-flowers-pack-maroon.png","false","11","11","Premium Foam Flowers Pack (100pcs) - Maroon","2026-07-24T19:08:32.556Z"
"1e531ca5-3300-432c-80ec-c19020a7e36a","b6bc6cfb-5890-4ba3-971e-4b21b7174656","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/foam-flowers/premium-foam-flowers-pack-peach.png","false","12","12","Premium Foam Flowers Pack (100pcs) - Peach","2026-07-24T19:08:32.556Z"
